lang	text_newlines	text_wcwords	text_bytes	docs
aa	474692	1538048	11398297	7135
ab	1438388	6111766	89235960	17247
af	43792503	263415714	1771209454	253866
ak	261875	1221677	7789683	3541
am	19708152	114793998	1204538584	117045
ar	2970746064	18596917213	190714047744	20045224
as	13985073	73615468	952820532	81480
ay	627364	2023351	15897554	4831
az	209519864	1059139756	9102452086	1217163
ba	4234654	22781442	287006678	33213
be	67207372	347183003	4463531306	432825
bg	1530967973	8412994849	93485121391	8311540
bh	2206986	14360964	169738751	16923
bi	540434	2926147	17684510	6378
bn	477891825	2571766814	39381304538	2906664
bo	7377780	27088039	1020661573	60638
br	8806375	39624915	264446938	86475
bs	125139231	661314129	4786063340	804300
ca	1106599041	6307126951	41736490814	7307838
ceb	9029831	36520285	238530073	58080
chr	39929	231041	2655232	447
co	15820477	79544819	572335879	95661
crs	1679400	7008181	50413406	8176
cs	6654564945	29838715245	219657898805	34310682
cy	46401786	241090126	1615241710	307927
da	2586054048	11570292950	80368811017	13756691
de	29861049511	145764435017	1116475536687	176917361
dv	4064032	20091554	316994663	50101
dz	727668	2131693	47286847	5302
el	3722364563	18494390301	212017080014	17854258
en	207635246907	1206122222050	7904781958100	1303529246
eo	27203836	131114347	973862414	221478
es	19783355420	124435952360	820156449730	126716973
et	756979719	3043462950	24467750438	4175956
eu	147506523	633399709	4931415984	1104715
fa	3734337307	22784689821	212497934289	19835531
fi	2454188784	10031980417	87698482718	12629428
fj	793656	5699067	34462251	5924
fo	18078745	69844655	508081163	123304
fr	22903172762	136056546151	914235186716	139834191
fy	9054014	46954155	314759509	94007
ga	34326164	194320987	1318129792	213734
gd	7800787	64889949	429503862	56151
gl	237777184	1206426297	8196939497	1776941
gn	4806816	19651700	140124567	48262
gu	94064269	431255689	5357565905	396614
gv	1263642	5157585	36863128	18523
ha	13035604	86156819	519613173	89199
haw	3860125	19399898	122356624	28617
hi	915650806	6182743805	69676855961	5457878
hmn	2698459	23061436	124374541	15181
hr	1071726038	5701728576	39944084594	6173219
ht	6832037	37342541	230390106	50431
hu	3793350216	21451069738	184594659092	18835057
hy	140692168	731458152	9637935400	920868
ia	2676400	12791833	101544579	29515
id	3734309996	28226207757	198368983727	25396391
ie	12996522	75807443	549815552	33029
ig	2877651	13942841	94270285	15154
ik	584938	1903824	16857700	5287
is	196601897	823568152	6160628310	1238555
it	12024710431	73413593399	498214566690	75338759
iu	1086996	5218800	58352782	9481
iw	560148949	3333091756	32860518640	3539103
ja	25079628269	44469379054	1125942184139	139760311
jw	6197946	30105054	224510300	44617
ka	162214877	708753498	13470369432	1065203
kha	2982486	12541388	80373987	14785
kk	82984675	426463177	5893714152	579045
kl	3880330	12805651	132258601	35155
km	45566639	160045675	5284247998	345122
kn	66869214	334334085	5319412422	394367
ko	3613413333	13508774396	135416306729	19258052
ks	59843	603632	5143449	238
ku	19053773	102303922	1228523827	145793
ky	19504165	95763824	1260114814	123799
la	678618870	3991994544	27028659168	7157392
lb	14185871	59979466	439975698	111793
lg	985417	5836279	39791684	8313
lif	437	1535	13825	7
ln	1297766	4795491	30342574	13703
lo	16375140	45657281	1172746712	129801
lt	928299311	4202333335	34133660856	4870101
lv	507971695	2271646542	18552645340	2511737
mfe	531998	1996109	15047207	8661
mg	14485022	67517742	507765898	90184
mi	13712858	70440485	441232963	70169
mk	133583166	791945921	8895295460	894422
ml	122543405	601003103	10650907939	734237
mn	92227815	694726841	8133316502	645135
mr	96404819	567645737	8386866579	681473
ms	615657462	3459483342	23079785199	3032009
mt	23985373	125342673	985221630	134387
my	62217281	250963095	5356730019	405767
na	1004939	2222371	18047629	5834
ne	100923071	608347394	9598848338	854810
nl	9851390356	46811085532	324988541876	61584282
nn	109918286	409408271	2995985345	581065
no	1646643214	8574629934	57997268232	9891840
nr	1243	2629	21654	31
nso	122670	512184	3225564	1474
ny	2491716	10788998	80342437	23983
oc	12836858	71760749	500656088	91446
om	2304923	16163273	118079513	18510
or	17781983	94985131	1358107371	135181
pa	25471793	183785041	2106271205	176281
pl	9814711583	46594127436	347412131785	51056517
ps	9261914	65746735	539012433	71332
pt	6220054924	36358310115	243031281240	35813409
qu	1433391	5880178	45945702	17048
rm	7666071	28967497	194266771	49962
rn	420485	1983573	13726867	3098
ro	3180366107	18839516565	128420387630	16258700
ru	33859564732	170591093406	2237772461698	163993406
rw	12290925	79760721	535905096	78926
sa	35252009	166587450	1661024858	134479
sco	12186719	48609236	342786213	80212
sd	4841360	28589660	242967940	37157
sg	418291	1441718	10878500	4965
si	55065303	354115876	4580974277	292630
sk	2640820868	11239095592	83605105585	11572219
sl	892635284	4280168578	29923409268	4727745
sm	1847807	11284681	67485617	14052
sn	2990939	11798382	91535128	20356
so	17135187	110720866	736698349	131019
sq	212469350	1202954024	8025072459	1325258
sr	1095990186	5746922955	45516662186	6167545
ss	322145	1201295	8686696	3186
st	1807958	10147082	63212286	13543
su	2132844	12345190	86671471	17867
sv	3828209988	18332134983	129113061477	20673216
sw	37477153	210625654	1349116272	246089
syr	1285513	6693596	65156097	12243
ta	270545241	1527106780	25738115369	1418182
te	98782022	522319019	7807508519	599546
tg	20654447	140495110	1737975174	119076
th	1718271437	6090618975	159436776198	13046576
ti	4590298	22891839	224617325	30556
tk	13438082	48750046	451455269	76838
tl	66265766	583785007	3607122651	396063
tlh	183444	782193	5129901	3324
tn	403695	1915686	12518277	4977
to	250779	1130921	7212244	3800
tr	4291637586	21789119589	172243626939	25828530
ts	277002	969071	6384338	2291
tt	20526908	94026244	1147334747	145037
ug	17247547	54955785	752468297	34999
uk	1711432237	8051574865	102225258235	9746284
ur	117254171	887190298	7423456403	889062
uz	67991689	352529678	3725629811	429876
ve	51501	362867	2374542	1219
vi	5752573997	47769629683	288080901017	31021734
vo	1740168	5879016	43454407	19838
war	60960357	186818031	1419277728	274363
wo	1027443	3660335	23635262	7384
xh	55460391	160685141	1510132376	43898
xx-Avst	208	1096	6530	8
xx-Bali	14093	31168	764870	194
xx-Bamu	5116	11358	70872	25
xx-Batk	198	371	2158	2
xx-Bopo	42023	273516	2059336	940
xx-Brah	807	1764	11758	2
xx-Bugi	686	2556	24577	9
xx-Cakm	2320	5641	39116	10
xx-Cari	91	81	507	1
xx-Cham	134	497	3360	2
xx-Copt	59540	228754	2937730	376
xx-Cprt	174	316	2092	1
xx-Dsrt	1793	9064	54116	56
xx-Egyp	19076	29757	208137	32
xx-Glag	170	385	3233	2
xx-Goth	4613	7315	116543	14
xx-Ital	313	497	4949	3
xx-Java	8988	21429	429485	62
xx-Kali	2868	15895	348587	25
xx-Khar	344	733	4924	3
xx-Kthi	160	389	2284	3
xx-Lana	12535	40084	559550	88
xx-Lepc	265	1055	5575	7
xx-Lisu	8493	63681	453001	113
