v3 Language Code (ISO 693-3+script)	Language Name	ISO693-3 code	ISO693-1 code	ISO693-3 code macro	Macroarea	Latitude	Longitude	Family	Subfamily	Genus
ace_Arab	Achinese	ace			Eurasia	5.5	95.5	Austronesian		Malayo-Sumbawan
ace_Latn	Achinese	ace			Eurasia	5.5	95.5	Austronesian		Malayo-Sumbawan
aeb_Arab	Tunisian Arabic	aeb	ar		Eurasia	33.80	9.56	Afro-Asiatic		Semitic
afr_Latn	Afrikaans	afr	af		Africa	-31.0	22.0	Indo-European		Germanic
als_Latn	Tosk Albanian	als	sq	sqi	Eurasia	41.0	20.0	Indo-European		Albanian
amh_Ethi	Amharic	amh	am		Africa	10.0	38.0	Afro-Asiatic		Semitic
apc_Arab	Levantine Arabic	apc	ar		Eurasia	34.17	36.05	Afro-Asiatic		Semitic
ara_Arab	Arabic	ara	ar		Eurasia	25.0	42.0	Afro-Asiatic		Semitic
arb_Arab	Standard Arabic	arb	ar		Eurasia	25.0	42.0	Afro-Asiatic		Semitic
ars_Arab	Najdi Arabic	ars	ar		Eurasia	30.34	42.18	Afro-Asiatic		Semitic
ary_Arab	Moroccan Arabic	ary	ar		Eurasia	32.50	-7.50	Afro-Asiatic		Semitic
arz_Arab	Egyptian Arabic	arz	ar		Eurasia	31.00	31.00	Afro-Asiatic		Semitic
asm_Beng	Assamese	asm	as		Eurasia	26.0	93.0	Indo-European		Indic
ast_Latn	Asturian	ast			Eurasia	43.25	-6.0	Indo-European		Romance
awa_Deva	Awadhi	awa			Eurasia	27.5	81.5	Indo-European		Indic
ayr_Latn	Central Aymara	ayr		aym	South America	-17.0	-69.0	Aymaran		Aymaran
azb_Arab	South Azerbaijani	azb	az	aze	Eurasia	37.5	47.0	Altaic		Turkic
azj_Latn	North Azerbaijani	azj	az	aze	Eurasia	40.5	48.5	Altaic		Turkic
bak_Cyrl	Bashkir	bak	ba		Eurasia	53.0	58.0	Altaic		Turkic
bam_Latn	Bambara	bam	bm		Africa	12.5	-7.5	Mande		Western Mande
ban_Latn	Balinese	ban			Papunesia	-8.33333333333	115.25	Austronesian		Malayo-Sumbawan
bel_Cyrl	Belarusian	bel	be		Eurasia	54.0	28.0	Indo-European		Slavic
