lang	text_bytes
eo	2198866923
ps	3091667911
tt	3300602709
so	3924169044
ky	4027789191
cy	4652384381
eu	12257258778
ga	12462533324
mt	12541719127
nn	12996075969
uz	13823187379
gu	14794703281
sw	15908326984
pa	19646128142
ne	25525391195
mr	30239347866
is	30318612741
mn	33031436671
si	33858920105
gl	35710477947
kn	36003457859
kk	39569157112
mk	40273862392
te	41989595909
ml	46841448545
hy	56713875498
af	58176021225
tl	59656695916
ur	61922423900
my	70146254443
be	87213983460
sq	98146449622
la	109535379999
az	113226035478
ka	129797330010
ta	170808425877
ca	180118941448
sl	195006171554
et	207305334993
hr	261681006284
lv	278382007504
lt	308087960867
sr	352100658411
ms	395562145226
no	453720374358
hi	594729605089
iw	725893057745
sv	760387648444
uk	784382924712
fi	811138328430
sk	861030397353
bg	884011480431
bn	925880170853
da	1168183479523
hu	1335596283964
ro	1362725737342
id	1584737544183
th	1659649845570
cs	1663116984892
ko	1842729566495
vi	1952715309951
tr	2102459287415
nl	2117924847607
ar	2721169363143
el	3029743249473
pl	3191771204534
it	3284958041720
zh-Hant	3387686620645
fa	3619541837922
pt	4520835677257
fr	6050417624039
es	6268483841968
ja	7053882506128
de	8135579696726
ru	26419914136195
zh	40877092929476
en	77523049173680
