lang	text_newlines	text_wcwords	text_chars	text_bytes	docs
af	85198785	829494898	5439062352	5486992900	747229
ar	3658792590	31848630739	192508444412	322934484090	26800103
az	139515623	1128419593	8529438082	9805514530	1097781
be	38441079	394193059	2810125355	4925968605	356534
bg	912624428	8761923213	56388319206	95868910716	6497503
bn	330367757	2766788870	18394842900	44056123384	2875658
ca	623259781	5755806777	35427052719	36528205987	4543154
cs	2098045579	19109449945	126626656328	138962393175	16987093
cy	12692267	124061572	770894784	781699050	111254
da	993810331	9369584482	60033098594	61501122082	8175518
de	12141428562	110983809312	802622677352	816024105086	101414657
el	4558101691	33764035274	205753747183	338891357077	15833090
en	219033948648	2314978570836	16428477191335	16492853767022	1021383587
eo	8794991	101698409	656768104	675420471	67808
es	18468569693	181226837851	1132060757101	1157696918497	129291075
et	195507292	1740343129	12945706429	13338885014	1475951
eu	37247163	324644434	2486679184	2509239358	343947
fa	4870289424	47581330375	253856737949	438144405299	30897583
fi	1034721608	9038770627	72437874732	75400960561	7147139
fr	13193247680	122875769999	784424080168	810940169097	99587633
ga	13953481	130675609	819428934	863569170	115529
gl	92910200	847396768	5362223910	5511797416	731356
gu	32746738	303627051	1849938332	4100541991	264816
hbs	1141802340	10026479739	66274402062	72923195236	8680801
he	838834080	7492790748	42972296001	71009799549	4979580
hi	855457887	7542326995	42604639655	88618898590	5774861
hu	1535989232	14391271593	105561534456	114968878326	11708768
hy	67217520	589952854	4535159790	7846937018	621465
id	4132045049	42077144123	292309908174	294223497409	31420597
is	62204567	562013385	3644021248	3989963430	481328
it	7469502770	74452207780	513184518667	519502954528	53525580
ja	33316501361	63231572489	762274104079	1749944242089	190414161
ka	65674999	573884713	4573976282	10868845695	533070
kk	51932956	471760198	3720386268	6641231177	406351
kn	29242268	235580729	1792130249	4114331159	228215
ko	5634806992	25522978788	126661612044	249113532294	31854516
ky	11751477	101619630	778058407	1394405946	88322
la	21410183	294131432	2021737669	2037525170	301702
lt	332765360	2954007422	22274491623	23538538198	2724744
lv	185619356	1594291386	11687753798	12597435379	1537254
mk	86247127	736552244	4790280394	8244122884	734687
ml	57049592	517827125	4515878353	10748378623	469980
mn	80481179	803214819	5561833361	9452824660	594905
mr	56435366	519553123	3500190135	8173683708	453694
ms	1131946142	9031986046	56856328162	57945876597	4872339
mt	11174856	102415910	766558426	790618191	111123
my	47774435	357107007	3668764886	8639715878	239473
nb	788081546	8301070144	52482215840	53632591203	6115022
ne	78434796	694396997	4587944672	11259925716	863349
nl	3672556863	33301431875	218200766655	219649246062	31745184
nn	28797381	298568705	1880499388	1927761834	228480
pa	17184354	184772464	1003894420	2194272990	152775
pl	5247914746	44170229367	312985084945	327648429077	39378824
ps	10986857	113192917	567982804	955103307	88212
pt	8608004522	81410703687	510968657252	527018325679	58244012
ro	2002483553	19491587540	125518000012	129709366337	14468448
ru	29446598658	284583711020	2127323446573	3554443022323	224196344
si	57938796	568029926	3710873227	8063301388	322515
sk	571746159	4982345685	33824370706	36473897972	4617459
sl	285622119	2512062070	16666548450	17091757379	2196149
so	23609974	211799105	1429581742	1440274163	283712
sq	147677416	1341391418	8321442027	8834314784	1241126
sv	1788108571	16913827114	107285587671	111723715605	13668868
sw	76258181	668174102	4430788399	4471433340	698565
ta	217519072	1914563787	15682637165	36732839132	1243110
te	51309571	437743878	3263458902	7320078109	415598
th	606101597	4332583916	47838401554	110351694098	8192709
tl	104242679	911061517	5535657141	5587814185	585237
tr	3869200556	42650361603	294837736734	320747718239	27051591
tt	8571951	74856415	545752423	962763358	65152
uk	1077903400	10574137996	77502737674	136393254206	9306382
ur	136730909	1422932601	7791256392	11576826838	1437830
uz	37695080	367248337	2915393926	4149495064	290289
vi	4655736274	49362899538	241346120752	299851098404	31504473
zh	162717254308	432881392414	5348560997082	12551125305947	1080799436
