Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
234	:	1701641158.000	    27.000	0	94	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_118.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_118.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
75	:	1701641158.000	    53.000	0	92	0	0	echo /nird/datalake/NS8112K/one/cleaned/cy/cy_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/cy/cy_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
81	:	1701641158.000	    69.000	0	92	0	0	echo /nird/datalake/NS8112K/one/cleaned/ps/ps_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/ps/ps_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
48	:	1701641158.000	    72.000	0	91	0	0	echo /nird/datalake/NS8112K/one/cleaned/eo/eo_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/eo/eo_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
64	:	1701641158.000	    80.000	0	94	0	0	echo /nird/datalake/NS8112K/one/cleaned/nn/nn_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/nn/nn_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
203	:	1701641158.000	   134.000	0	95	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_82.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_82.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
13	:	1701641157.000	   171.000	0	94	0	0	echo /nird/datalake/NS8112K/one/cleaned/pa/pa_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/pa/pa_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
37	:	1701641158.000	   190.000	0	94	0	0	echo /nird/datalake/NS8112K/one/cleaned/el/el_6.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/el/el_6.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
1	:	1701641157.000	   267.000	0	94	0	0	echo /nird/datalake/NS8112K/one/cleaned/is/is_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/is/is_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
34	:	1701641157.000	   310.000	0	94	0	0	echo /nird/datalake/NS8112K/one/cleaned/uz/uz_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/uz/uz_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
