Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
48	:	1701457039.000	    27.000	0	60	0	0	echo /nird/datalake/NS8112K/one/deduped/eo/eo_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/eo/eo_1.jsonl.zst|wc --lines
81	:	1701457039.000	    36.000	0	60	0	0	echo /nird/datalake/NS8112K/one/deduped/ps/ps_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/ps/ps_1.jsonl.zst|wc --lines
75	:	1701457039.000	    44.000	0	60	0	0	echo /nird/datalake/NS8112K/one/deduped/cy/cy_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/cy/cy_1.jsonl.zst|wc --lines
37	:	1701457039.000	    97.000	0	60	0	0	echo /nird/datalake/NS8112K/one/deduped/el/el_6.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/el/el_6.jsonl.zst|wc --lines
64	:	1701457039.000	   116.000	0	60	0	0	echo /nird/datalake/NS8112K/one/deduped/nn/nn_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/nn/nn_1.jsonl.zst|wc --lines
13	:	1701457039.000	   141.000	0	60	0	0	echo /nird/datalake/NS8112K/one/deduped/pa/pa_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/pa/pa_1.jsonl.zst|wc --lines
34	:	1701457039.000	   146.000	0	60	0	0	echo /nird/datalake/NS8112K/one/deduped/uz/uz_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/uz/uz_1.jsonl.zst|wc --lines
45	:	1701457039.000	   244.000	0	60	0	0	echo /nird/datalake/NS8112K/one/deduped/mr/mr_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/mr/mr_1.jsonl.zst|wc --lines
15	:	1701457039.000	   267.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/sv/sv_3.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/sv/sv_3.jsonl.zst|wc --lines
1	:	1701457039.000	   305.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/is/is_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/is/is_1.jsonl.zst|wc --lines
82	:	1701457039.000	   306.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/mn/mn_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/mn/mn_1.jsonl.zst|wc --lines
52	:	1701457039.000	   360.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/te/te_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/te/te_1.jsonl.zst|wc --lines
11	:	1701457039.000	   387.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/sk/sk_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/sk/sk_2.jsonl.zst|wc --lines
41	:	1701457039.000	   417.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/hy/hy_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/hy/hy_1.jsonl.zst|wc --lines
9	:	1701457039.000	   422.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/nb/nb_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/nb/nb_2.jsonl.zst|wc --lines
88	:	1701457039.000	   431.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/es/es_16.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/es/es_16.jsonl.zst|wc --lines
33	:	1701457039.000	   450.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/ur/ur_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/ur/ur_1.jsonl.zst|wc --lines
49	:	1701457039.000	   636.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/be/be_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/be/be_1.jsonl.zst|wc --lines
65	:	1701457039.000	   680.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/az/az_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/az/az_1.jsonl.zst|wc --lines
79	:	1701457039.000	   855.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/hu/hu_3.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/hu/hu_3.jsonl.zst|wc --lines
139	:	1701457040.000	   890.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_196.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_196.jsonl.zst|wc --lines
76	:	1701457039.000	   998.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/he/he_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/he/he_2.jsonl.zst|wc --lines
74	:	1701457039.000	  1043.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/ko/ko_4.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/ko/ko_4.jsonl.zst|wc --lines
44	:	1701457039.000	  1241.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/et/et_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/et/et_1.jsonl.zst|wc --lines
47	:	1701457039.000	  1288.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/hbs/hbs_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/hbs/hbs_2.jsonl.zst|wc --lines
42	:	1701457039.000	  1289.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/bg/bg_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/bg/bg_2.jsonl.zst|wc --lines
66	:	1701457039.000	  1339.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/ca/ca_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/ca/ca_1.jsonl.zst|wc --lines
23	:	1701457039.000	  1350.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/hi/hi_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/hi/hi_2.jsonl.zst|wc --lines
53	:	1701457039.000	  1565.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/lt/lt_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/lt/lt_1.jsonl.zst|wc --lines
61	:	1701457039.000	  1781.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/ar/ar_5.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/ar/ar_5.jsonl.zst|wc --lines
51	:	1701457039.000	  1823.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/da/da_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/da/da_2.jsonl.zst|wc --lines
7	:	1701457039.000	  1840.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/fi/fi_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/fi/fi_2.jsonl.zst|wc --lines
22	:	1701457039.000	  2116.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/pl/pl_6.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/pl/pl_6.jsonl.zst|wc --lines
133	:	1701457040.000	  2145.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_83.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_83.jsonl.zst|wc --lines
175	:	1701457040.000	  2148.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_135.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_135.jsonl.zst|wc --lines
160	:	1701457040.000	  2152.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_92.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_92.jsonl.zst|wc --lines
137	:	1701457040.000	  2179.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_160.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_160.jsonl.zst|wc --lines
142	:	1701457040.000	  2191.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_195.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_195.jsonl.zst|wc --lines
5	:	1701457039.000	  2197.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/fa/fa_5.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/fa/fa_5.jsonl.zst|wc --lines
2	:	1701457039.000	  2203.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/fa/fa_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/fa/fa_2.jsonl.zst|wc --lines
113	:	1701457040.000	  2236.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_112.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_112.jsonl.zst|wc --lines
36	:	1701457039.000	  2242.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/el/el_5.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/el/el_5.jsonl.zst|wc --lines
4	:	1701457039.000	  2278.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/fa/fa_4.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/fa/fa_4.jsonl.zst|wc --lines
56	:	1701457039.000	  2283.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/tr/tr_5.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/tr/tr_5.jsonl.zst|wc --lines
223	:	1701457041.000	  2286.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_134.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_134.jsonl.zst|wc --lines
219	:	1701457041.000	  2291.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_191.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_191.jsonl.zst|wc --lines
24	:	1701457039.000	  2307.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/hi/hi_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/hi/hi_1.jsonl.zst|wc --lines
150	:	1701457040.000	  2306.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_36.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_36.jsonl.zst|wc --lines
166	:	1701457040.000	  2315.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_171.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_171.jsonl.zst|wc --lines
222	:	1701457041.000	  2314.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_123.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_123.jsonl.zst|wc --lines
72	:	1701457039.000	  2317.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/ko/ko_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/ko/ko_1.jsonl.zst|wc --lines
120	:	1701457040.000	  2325.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_156.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_156.jsonl.zst|wc --lines
138	:	1701457040.000	  2335.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_56.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_56.jsonl.zst|wc --lines
95	:	1701457039.000	  2336.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/es/es_10.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/es/es_10.jsonl.zst|wc --lines
6	:	1701457039.000	  2338.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/fa/fa_3.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/fa/fa_3.jsonl.zst|wc --lines
228	:	1701457041.000	  2339.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_95.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_95.jsonl.zst|wc --lines
8	:	1701457039.000	  2344.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/fi/fi_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/fi/fi_1.jsonl.zst|wc --lines
35	:	1701457039.000	  2346.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/el/el_3.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/el/el_3.jsonl.zst|wc --lines
87	:	1701457039.000	  2350.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/es/es_5.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/es/es_5.jsonl.zst|wc --lines
220	:	1701457041.000	  2350.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_121.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_121.jsonl.zst|wc --lines
206	:	1701457040.000	  2353.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_16.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_16.jsonl.zst|wc --lines
212	:	1701457040.000	  2357.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_1.jsonl.zst|wc --lines
235	:	1701457041.000	  2362.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_169.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_169.jsonl.zst|wc --lines
28	:	1701457039.000	  2372.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/pt/pt_4.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/pt/pt_4.jsonl.zst|wc --lines
101	:	1701457039.000	  2375.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_168.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_168.jsonl.zst|wc --lines
85	:	1701457039.000	  2385.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/es/es_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/es/es_2.jsonl.zst|wc --lines
58	:	1701457039.000	  2409.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/tr/tr_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/tr/tr_1.jsonl.zst|wc --lines
203	:	1701457040.000	  2410.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_82.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_82.jsonl.zst|wc --lines
134	:	1701457040.000	  2419.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_74.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_74.jsonl.zst|wc --lines
178	:	1701457040.000	  2422.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_187.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_187.jsonl.zst|wc --lines
246	:	1701457180.000	  2282.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_125.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_125.jsonl.zst|wc --lines
105	:	1701457039.000	  2423.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_127.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_127.jsonl.zst|wc --lines
230	:	1701457041.000	  2425.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_87.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_87.jsonl.zst|wc --lines
117	:	1701457040.000	  2430.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_47.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_47.jsonl.zst|wc --lines
123	:	1701457040.000	  2435.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_94.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_94.jsonl.zst|wc --lines
224	:	1701457041.000	  2447.000	0	63	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_145.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_145.jsonl.zst|wc --lines
236	:	1701457041.000	  2451.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_188.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_188.jsonl.zst|wc --lines
240	:	1701457041.000	  2458.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_174.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_174.jsonl.zst|wc --lines
17	:	1701457039.000	  2462.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/pl/pl_5.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/pl/pl_5.jsonl.zst|wc --lines
131	:	1701457040.000	  2461.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_133.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_133.jsonl.zst|wc --lines
18	:	1701457039.000	  2468.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/pl/pl_3.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/pl/pl_3.jsonl.zst|wc --lines
100	:	1701457039.000	  2470.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/ro/ro_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/ro/ro_1.jsonl.zst|wc --lines
136	:	1701457040.000	  2471.000	0	62	0	0	echo /nird/datalake/NS8112K/one/deduped/en/en_162.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/en/en_162.jsonl.zst|wc --lines
43	:	1701457039.000	  2476.000	0	61	0	0	echo /nird/datalake/NS8112K/one/deduped/bg/bg_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/deduped/bg/bg_1.jsonl.zst|wc --lines
