lang	text_newlines	text_wcwords	text_chars	text_bytes	docs
af	448064349	1871362554	13331724243	13475549529	1371732
ar	9199928573	51529199558	323491720272	527154118125	46644105
az	762174849	2944857613	22210490266	25209813882	2999633
be	292202283	1391858297	11412918936	19338568829	1263852
bg	3507250868	15482493215	103883730804	173045070450	13343257
bn	2425318193	8233442184	55137138454	129344904117	5968971
ca	1162700337	7882712210	49440852159	50952786275	7793640
cs	9882089347	41036918936	261843855665	287291452812	38564238
cy	47550149	243812847	1625100492	1641897974	285053
da	4576682233	22104034024	152557566252	156173418247	23576016
de	43477645991	193112227592	1430744510491	1456294914843	226466682
el	11344256916	52240772142	340430377194	546830321460	30625476
en	387231549599	2861889645616	20255064696280	20342499546706	1781836533
eo	22946215	147062117	963569061	991321180	177132
es	44524137935	250076380376	1557659312568	1595585117963	201059233
et	1587569037	5852719119	44756769821	46041965536	5840594
eu	145525056	717144700	5232511944	5302259268	1008242
fa	13438921860	70380819063	383981951252	645385975027	42277337
fi	4761455819	16851757162	137509140450	142162821855	19506899
fr	43573677406	213837601917	1372558277693	1410295864292	175760036
ga	123739906	520097923	3377532206	3608814690	931549
gl	222144383	1291365593	8339779693	8560561138	1789799
gu	83935620	473459165	2949895594	6099611825	454727
hbs	4769925615	19399570418	132100344345	145109810289	17842009
he	3727427854	15453815763	92696032944	151595358003	11241370
hi	2766026968	13652156313	81200705232	162278756815	11422009
hu	6892664556	26536810401	199499037756	216644495370	28489150
hy	354849130	1305106146	9467747763	15401988636	1363744
id	9664627534	69217860046	480863835334	483750052627	45771972
is	322599028	1340544640	9158082760	9990004155	1439017
it	22725738943	114437468164	768253196160	777144257638	96500928
ja	51398019876	91406137590	892413995889	1976173092516	218847859
ka	508902059	1678265729	12189258293	25069172650	1670420
kk	230509767	1013589611	7769914096	13654424966	1428246
kn	167037605	577952892	4072683417	8713870220	557821
ko	9554471343	28995460283	148811675297	279764041310	44458287
ky	28260819	146443472	1119003173	1959017771	188166
la	576432992	3318055557	24014094760	24203327163	4810947
lt	1709141293	7777994834	53996242013	56732711043	7395877
lv	1478587817	5390036896	39757081472	42306511302	5123187
mk	258311608	1114626806	7308954019	11986440947	1248979
ml	210666255	1054190047	8751139375	19388648305	1130688
mn	185601000	1092541463	7553835105	12704922564	1057288
mr	157963973	911637478	6058619703	13119627475	857207
ms	3250808589	16503628306	100294213627	102481465499	8358927
mt	168749837	818605151	5690926074	6014339841	484424
my	300146732	1254667544	9806536262	19699782511	826107
nb	3185946105	13896425473	92086539552	94064513467	14576409
ne	164734595	1058713870	6856485059	15579650875	1360974
nl	16515732334	71750734164	518324164641	523452464274	66622002
nn	141400713	640111029	4362153701	4462760666	752533
pa	122703332	532706094	3061831084	6406864512	888467
pl	19334786207	85411842183	594625210804	617294922884	82924455
ps	26513154	167532890	822196168	1317181179	142659
pt	27364096366	132092896737	826664897717	852979938669	103819743
ro	7073524416	32803711441	241408627270	246551557022	24944983
ru	114159616288	492525988492	3650084816310	6019022360672	397273894
si	128289279	917691468	5819430343	11877161578	563991
sk	3893751616	13949585464	95019936013	101847506347	13990888
sl	1578874884	7038587734	47906534476	48997413980	5818274
so	44148728	299677095	1991109444	2007283371	374709
sq	737153633	3777304560	25319232558	26547292858	3220459
sv	6556015289	28258571698	188399509954	195335792096	29956198
sw	155487298	910983775	5881425449	5944513812	983506
ta	631068848	3867898714	29541044948	65829937342	2470881
te	228173264	1055761785	7558558956	15938588535	1610483
th	8430854083	21985140767	192710739316	405364186818	29477140
tl	240330275	1625496014	11463368842	11561148551	1203684
tr	10291746445	64915097570	455385089584	492818094626	59430334
tt	26431143	134182865	964593146	1630797883	172471
uk	3176621860	18187535686	134141286346	230809447983	17860323
ur	267658190	2018995985	11134738511	16125024258	2230857
uz	92653353	556448432	4376122354	6116559302	633219
vi	9492177775	64973221783	316973571090	391798020201	40100516
zh	173382545168	334579114711	3347607967459	7505273910134	1200373368
