lang	text_newlines	text_wcwords	text_chars	text_bytes	docs
af	1426017308	6089415921	44848297679	45306207176	4358429
ar	40113285507	216321303620	1369641699951	2192396156863	197492878
az	2864591916	10676404003	80741545621	91531873262	10447695
be	925890070	4709657036	40015921842	68122746087	3914712
bg	15772323468	66369382543	448438971517	742680492822	58270047
bn	14910086352	46184256980	309664594573	726285042544	23346215
ca	5275650553	24531747971	156471038800	160807033713	24169083
cs	52251995492	192477967214	1256051541096	1373234700642	184090067
cy	132741383	623985629	4242626989	4281737060	725324
da	41627117246	139539069101	925297397615	944151662683	686473938
de	222223907099	899138544021	6715771426497	6833739805163	1016049631
el	54341959973	248078256544	1599867410319	2566202139500	134472040
en	2198409796483	10267385032796	67763062611734	68218350722448	12680523240
eo	55427311	295871041	2017066576	2072532870	400646
es	161537458802	869375309107	5377730038269	5514399016495	671982004
et	6302595903	21748720738	166134688732	170569391603	21180716
eu	338428699	1546189203	11292642683	11444470920	2289370
fa	63074354595	318131797015	1740782486943	2926943890010	189043746
fi	24273222629	80591851849	652574307877	673583376836	89061661
fr	172855918061	791823159337	5115250887603	5251426361808	660323316
ga	356200004	1431331113	9312848417	9967632077	2713066
gl	1231692734	5015663692	33086646868	33966483089	4597443
gu	227933570	1059893685	6791010868	13242068211	915292
hbs	18426234266	69447416196	472934250048	518889223602	60635369
he	14998420685	61845334569	369315755756	603149336653	46218081
hi	8883386046	41207215520	246185031583	488641803745	33669263
hu	37633793862	137251659359	1034461938401	1123999068266	137330415
hy	1161960362	4064692025	29463441420	47532469536	3985038
id	29474672942	208162528985	1439582101862	1448271249870	125734540
is	911233075	3478391049	23952755081	26094078629	3863282
it	88165208636	405657621090	2761552133148	2790901687997	337439890
ja	175231879588	305032026814	2750440740421	5971710302344	679788884
ka	2163739778	7189849494	52222998819	105104585323	6464435
kk	590009358	2526021069	19282727201	33772577576	3455088
kn	758699152	2103126629	14414061104	29445174709	1932781
ko	55572159481	161416337243	834302212991	1563256823919	248061812
ky	51476620	263050061	1998144169	3480532151	333583
la	2549563269	14380976521	103672135997	104445186493	20536902
lt	8475328587	33115058191	240760653694	252838350363	32354267
lv	7036777533	27371742402	207426948106	220922903809	21152291
mk	823157494	3237412624	21253768091	34725086983	3412924
ml	525920433	2668352074	20460510190	43205769923	2190433
mn	488817757	2492282704	17344133380	29234978209	2503075
mr	356301652	1910741290	12656342758	27078422578	1635518
ms	11605057444	56683306684	344610507206	351867726644	28315150
mt	361287889	1393443844	9608386952	10078836396	926224
my	1048801337	4409540641	32456281054	61296002656	2458289
nb	15158887329	55506711399	371649074277	379449163462	61087084
ne	262859050	1676229873	10859115990	24343344962	2112157
nl	61968579963	250075680706	1813937343326	1830930951312	234442353
nn	399063125	1637425960	11397546460	11658737624	1851499
pa	328496484	1337389459	7695200289	16042846626	2398535
pl	87054794096	366179320828	2553450493000	2649085761136	346334947
ps	60258320	356650713	1763633949	2812007180	313150
pt	126287943435	607046104489	3791508030326	3913206371286	448200310
ro	32921208139	144815451520	1097408514819	1117814624331	103687114
ru	434324024794	1788323575108	13316508540173	21763045641208	1527493600
si	334586105	2345006295	14843068361	30037785436	1369653
sk	28904800217	94651369643	648629085215	693563527436	90430100
sl	5599712029	22849776387	157373000274	160988048242	19172735
so	80242622	544498502	3611146350	3641948844	676036
sq	2254937600	11500065907	77297172660	80945241767	9176321
sv	23601432661	95992502346	639398390452	663342554109	96134537
sw	371515684	2101743244	13494653919	13642272349	2172127
ta	1533096346	9297498833	70770986297	157268428408	5457212
te	537055401	2425779880	17193316779	35861779714	3507572
th	32211417434	78627165140	668076955977	1392024868186	95272882
tl	1773457515	7068953977	46875069280	47355260258	4967563
tr	50319599760	238299539807	1680739800760	1811791894941	215378557
tt	64015981	261378957	1833748396	2969847662	368346
uk	12738805125	52950818376	386382144886	655650056378	47117446
ur	1461646172	6594888847	37860434238	50517474916	6094266
uz	217585008	1113191902	8707581635	12041908547	1365825
vi	45314034983	287195889692	1408231409707	1730707391969	174170550
zh	888338988990	1788770245808	17627396612603	39968639720925	6913873266
