path docs
/nird/home/nikolare/hplt/public/two/annotated/wide12/umb_Latn/1.jsonl.zst 6644
/nird/home/nikolare/hplt/public/two/annotated/wide12/kas_Arab/1.jsonl.zst 1193
/nird/home/nikolare/hplt/public/two/annotated/wide12/mai_Deva/1.jsonl.zst 9333
/nird/home/nikolare/hplt/public/two/annotated/wide12/mni_Beng/1.jsonl.zst 1015
/nird/home/nikolare/hplt/public/two/annotated/wide12/knc_Latn/1.jsonl.zst 4920
/nird/home/nikolare/hplt/public/two/annotated/wide12/dik_Latn/1.jsonl.zst 5585
/nird/home/nikolare/hplt/public/two/annotated/wide12/tzm_Tfng/1.jsonl.zst 234
/nird/home/nikolare/hplt/public/two/annotated/wide12/tso_Latn/1.jsonl.zst 18562
/nird/home/nikolare/hplt/public/two/annotated/wide12/ory_Orya/1.jsonl.zst 9081
/nird/home/nikolare/hplt/public/two/annotated/wide12/taq_Tfng/1.jsonl.zst 7
/nird/home/nikolare/hplt/public/two/annotated/wide12/knc_Arab/1.jsonl.zst 328
/nird/home/nikolare/hplt/public/two/annotated/wide12/kon_Latn/1.jsonl.zst 4975
/nird/home/nikolare/hplt/public/two/annotated/wide12/dyu_Latn/1.jsonl.zst 2100
/nird/home/nikolare/hplt/public/two/annotated/wide12/kik_Latn/1.jsonl.zst 8144
/nird/home/nikolare/hplt/public/two/annotated/wide12/ace_Arab/1.jsonl.zst 1094
/nird/home/nikolare/hplt/public/two/annotated/wide12/bod_Tibt/1.jsonl.zst 7778
/nird/home/nikolare/hplt/public/two/annotated/wide12/fon_Latn/1.jsonl.zst 2333
/nird/home/nikolare/hplt/public/two/annotated/wide12/shn_Mymr/1.jsonl.zst 1233
/nird/home/nikolare/hplt/public/two/annotated/wide12/dzo_Tibt/1.jsonl.zst 1947
/nird/home/nikolare/hplt/public/two/annotated/wide12/mos_Latn/1.jsonl.zst 23835
/nird/home/nikolare/hplt/public/two/annotated/wide12/lua_Latn/1.jsonl.zst 9488
/nird/home/nikolare/hplt/public/two/annotated/wide12/sot_Latn/1.jsonl.zst 27156
/nird/home/nikolare/hplt/public/two/annotated/wide12/cjk_Latn/1.jsonl.zst 2827
/nird/home/nikolare/hplt/public/two/annotated/wide12/kea_Latn/1.jsonl.zst 1666
/nird/home/nikolare/hplt/public/two/annotated/wide12/sat_Olck/1.jsonl.zst 120
/nird/home/nikolare/hplt/public/two/annotated/wide12/kam_Latn/1.jsonl.zst 1810
/nird/home/nikolare/hplt/public/two/annotated/wide12/asm_Beng/1.jsonl.zst 5769
/nird/home/nikolare/hplt/public/two/annotated/wide12/kas_Deva/1.jsonl.zst 860
/nird/home/nikolare/hplt/public/two/annotated/wide12/bjn_Arab/1.jsonl.zst 1445
/nird/home/nikolare/hplt/public/two/annotated/wide12/taq_Latn/1.jsonl.zst 18589
/nird/home/nikolare/hplt/public/two/annotated/wide12/kac_Latn/1.jsonl.zst 10965
/nird/home/nikolare/hplt/public/two/annotated/wide12/tsn_Latn/1.jsonl.zst 23099
/nird/home/nikolare/hplt/public/two/annotated/wide12/nus_Latn/1.jsonl.zst 683
/nird/home/nikolare/hplt/public/two/annotated/wide12/tum_Latn/1.jsonl.zst 7274
/nird/home/nikolare/hplt/public/two/annotated/wide12/lij_Latn/1.jsonl.zst 70186
