Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1725642308.124	     0.041	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/umb_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/umb_Latn/1.jsonl.zst|wc --lines
12	:	1725642308.137	     0.096	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/kas_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/kas_Arab/1.jsonl.zst|wc --lines
16	:	1725642308.143	     0.093	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/mai_Deva/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/mai_Deva/1.jsonl.zst|wc --lines
17	:	1725642308.144	     0.092	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/mni_Beng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/mni_Beng/1.jsonl.zst|wc --lines
24	:	1725642308.152	     0.085	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/knc_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/knc_Latn/1.jsonl.zst|wc --lines
32	:	1725642308.162	     0.078	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/dik_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/dik_Latn/1.jsonl.zst|wc --lines
47	:	1725642308.266	     0.050	0	78	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/tzm_Tfng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/tzm_Tfng/1.jsonl.zst|wc --lines
15	:	1725642308.141	     0.266	0	80	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/tso_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/tso_Latn/1.jsonl.zst|wc --lines
19	:	1725642308.146	     0.266	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/ory_Orya/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/ory_Orya/1.jsonl.zst|wc --lines
105	:	1725642308.419	     0.015	0	76	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/taq_Tfng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/taq_Tfng/1.jsonl.zst|wc --lines
101	:	1725642308.408	     0.052	0	78	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/knc_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/knc_Arab/1.jsonl.zst|wc --lines
90	:	1725642308.377	     0.084	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/kon_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/kon_Latn/1.jsonl.zst|wc --lines
102	:	1725642308.412	     0.070	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/dyu_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/dyu_Latn/1.jsonl.zst|wc --lines
55	:	1725642308.280	     0.217	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/kik_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/kik_Latn/1.jsonl.zst|wc --lines
83	:	1725642308.353	     0.171	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/ace_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/ace_Arab/1.jsonl.zst|wc --lines
21	:	1725642308.149	     0.389	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/bod_Tibt/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/bod_Tibt/1.jsonl.zst|wc --lines
81	:	1725642308.349	     0.190	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/fon_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/fon_Latn/1.jsonl.zst|wc --lines
122	:	1725642308.497	     0.058	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/shn_Mymr/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/shn_Mymr/1.jsonl.zst|wc --lines
77	:	1725642308.341	     0.271	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/dzo_Tibt/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/dzo_Tibt/1.jsonl.zst|wc --lines
42	:	1725642308.257	     0.364	0	80	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/mos_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/mos_Latn/1.jsonl.zst|wc --lines
109	:	1725642308.430	     0.211	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/lua_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/lua_Latn/1.jsonl.zst|wc --lines
43	:	1725642308.259	     0.448	0	80	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/sot_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/sot_Latn/1.jsonl.zst|wc --lines
134	:	1725642308.563	     0.154	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/cjk_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/cjk_Latn/1.jsonl.zst|wc --lines
154	:	1725642308.674	     0.070	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/kea_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/kea_Latn/1.jsonl.zst|wc --lines
165	:	1725642308.724	     0.023	0	78	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/sat_Olck/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/sat_Olck/1.jsonl.zst|wc --lines
164	:	1725642308.717	     0.141	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/kam_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/kam_Latn/1.jsonl.zst|wc --lines
64	:	1725642308.300	     0.562	0	79	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/asm_Beng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/asm_Beng/1.jsonl.zst|wc --lines
