Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
17	:	1725623692.306	     0.131	0	106	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/mni_Beng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/mni_Beng/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
3	:	1725623692.283	     0.220	0	106	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/umb_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/umb_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
12	:	1725623692.297	     0.207	0	106	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/kas_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/kas_Arab/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
24	:	1725623692.324	     0.181	0	106	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/knc_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/knc_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
47	:	1725623692.369	     0.136	0	106	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/tzm_Tfng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/tzm_Tfng/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
32	:	1725623692.341	     0.215	0	106	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/dik_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/dik_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
16	:	1725623692.305	     0.349	0	107	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/mai_Deva/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/mai_Deva/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
105	:	1725623692.610	     0.047	0	106	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/taq_Tfng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/taq_Tfng/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
101	:	1725623692.596	     0.082	0	106	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/knc_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/knc_Arab/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
102	:	1725623692.599	     0.128	0	106	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/dyu_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/dyu_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
90	:	1725623692.557	     0.176	0	106	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/kon_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/kon_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
122	:	1725623692.682	     0.101	0	106	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/shn_Mymr/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/shn_Mymr/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
55	:	1725623692.393	     0.408	0	108	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/kik_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/kik_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
83	:	1725623692.533	     0.322	0	108	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/ace_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/ace_Arab/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
81	:	1725623692.526	     0.381	0	108	0	0	echo /nird/home/nikolare/hplt/public/two/annotated/wide12/fon_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/annotated/wide12/fon_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
