Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1726884084.000	     0.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/umb_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/umb_Latn/1.jsonl.zst|wc --lines
21	:	1726884084.000	     0.000	0	69	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/kas_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/kas_Arab/1.jsonl.zst|wc --lines
1	:	1726884084.000	     0.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/lij_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/lij_Latn/1.jsonl.zst|wc --lines
33	:	1726884084.000	     0.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/knc_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/knc_Latn/1.jsonl.zst|wc --lines
77	:	1726884084.000	     0.000	0	69	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/mos_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/mos_Latn/1.jsonl.zst|wc --lines
26	:	1726884084.000	     0.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/mni_Beng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/mni_Beng/1.jsonl.zst|wc --lines
63	:	1726884084.000	     0.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/dik_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/dik_Latn/1.jsonl.zst|wc --lines
157	:	1726884084.000	     0.000	0	68	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/ace_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/ace_Arab/1.jsonl.zst|wc --lines
155	:	1726884084.000	     1.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/fon_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/fon_Latn/1.jsonl.zst|wc --lines
179	:	1726884085.000	     0.000	0	69	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/knc_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/knc_Arab/1.jsonl.zst|wc --lines
149	:	1726884084.000	     1.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/ssw_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/ssw_Latn/1.jsonl.zst|wc --lines
180	:	1726884085.000	     0.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/dyu_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/dyu_Latn/1.jsonl.zst|wc --lines
124	:	1726884084.000	     1.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/hne_Deva/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/hne_Deva/1.jsonl.zst|wc --lines
151	:	1726884084.000	     1.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/dzo_Tibt/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/dzo_Tibt/1.jsonl.zst|wc --lines
168	:	1726884084.000	     1.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/kon_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/kon_Latn/1.jsonl.zst|wc --lines
175	:	1726884084.000	     1.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/taq_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/taq_Latn/1.jsonl.zst|wc --lines
147	:	1726884084.000	     1.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/ewe_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/ewe_Latn/1.jsonl.zst|wc --lines
178	:	1726884085.000	     0.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/sag_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/sag_Latn/1.jsonl.zst|wc --lines
24	:	1726884084.000	     1.000	0	71	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/tso_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/tso_Latn/1.jsonl.zst|wc --lines
150	:	1726884084.000	     1.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/bug_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/bug_Latn/1.jsonl.zst|wc --lines
122	:	1726884084.000	     1.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/kik_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/kik_Latn/1.jsonl.zst|wc --lines
123	:	1726884084.000	     1.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/tsn_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/tsn_Latn/1.jsonl.zst|wc --lines
183	:	1726884085.000	     0.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/luo_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/luo_Latn/1.jsonl.zst|wc --lines
131	:	1726884084.000	     1.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/fuv_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/fuv_Latn/1.jsonl.zst|wc --lines
173	:	1726884084.000	     1.000	0	69	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/mag_Deva/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/mag_Deva/1.jsonl.zst|wc --lines
186	:	1726884085.000	     0.000	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/lua_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/lua_Latn/1.jsonl.zst|wc --lines
