path text_newlines text_wcwords text_chars text_bytes
/nird/home/nikolare/hplt/public/two/cleaned/kas_Arab/1.jsonl.zst   27108  678024 3468934 6186799
/nird/home/nikolare/hplt/public/two/cleaned/mos_Latn/1.jsonl.zst   19104  807486 3864614 4364195
/nird/home/nikolare/hplt/public/two/cleaned/umb_Latn/1.jsonl.zst   59912 2430531 15408251 15581706
/nird/home/nikolare/hplt/public/two/cleaned/knc_Latn/1.jsonl.zst   10521 2408986 11952277 13656892
/nird/home/nikolare/hplt/public/two/cleaned/dik_Latn/1.jsonl.zst   34647 2294790 11540215 13158281
/nird/home/nikolare/hplt/public/two/cleaned/ace_Arab/1.jsonl.zst     117    8363   49743   86481
/nird/home/nikolare/hplt/public/two/cleaned/kik_Latn/1.jsonl.zst   51931 1427520 9295999 10455689
/nird/home/nikolare/hplt/public/two/cleaned/fon_Latn/1.jsonl.zst   14764 1233350 5336242 6524308
/nird/home/nikolare/hplt/public/two/cleaned/ssw_Latn/1.jsonl.zst   62126  994302 8823101 8886653
/nird/home/nikolare/hplt/public/two/cleaned/knc_Arab/1.jsonl.zst   10828  261998 1302360 2342360
/nird/home/nikolare/hplt/public/two/cleaned/kon_Latn/1.jsonl.zst   47477 1944351 11277329 11388944
/nird/home/nikolare/hplt/public/two/cleaned/taq_Latn/1.jsonl.zst   13884 1544190 8847076 9885828
/nird/home/nikolare/hplt/public/two/cleaned/mag_Deva/1.jsonl.zst   19288  890628 4283100 10575904
/nird/home/nikolare/hplt/public/two/cleaned/mni_Beng/1.jsonl.zst   65762 1627114 11794187 30853504
/nird/home/nikolare/hplt/public/two/cleaned/lij_Latn/1.jsonl.zst  157715 5593303 31469474 35467964
/nird/home/nikolare/hplt/public/two/cleaned/bug_Latn/1.jsonl.zst   38551 2704517 19314854 19649808
/nird/home/nikolare/hplt/public/two/cleaned/dzo_Tibt/1.jsonl.zst   39971  422241 7376884 20806381
/nird/home/nikolare/hplt/public/two/cleaned/sag_Latn/1.jsonl.zst   51900 3612121 16743986 17415051
/nird/home/nikolare/hplt/public/two/cleaned/lua_Latn/1.jsonl.zst   38690 1368176 9006550 9086544
/nird/home/nikolare/hplt/public/two/cleaned/ewe_Latn/1.jsonl.zst  143401 4307527 21321406 23363204
/nird/home/nikolare/hplt/public/two/cleaned/tsn_Latn/1.jsonl.zst  132173 5273311 27677403 27856122
/nird/home/nikolare/hplt/public/two/cleaned/tso_Latn/1.jsonl.zst  221245 8668230 49296384 50112358
/nird/home/nikolare/hplt/public/two/cleaned/tum_Latn/1.jsonl.zst   99013 2876380 21102583 21616087
/nird/home/nikolare/hplt/public/two/cleaned/dyu_Latn/1.jsonl.zst   24558 1194399 5553660 6003411
/nird/home/nikolare/hplt/public/two/cleaned/fuv_Latn/1.jsonl.zst  133977 5143430 29906734 31516929
/nird/home/nikolare/hplt/public/two/cleaned/kac_Latn/1.jsonl.zst  159416 5955171 28408052 28793499
/nird/home/nikolare/hplt/public/two/cleaned/luo_Latn/1.jsonl.zst   84116 3726612 20329590 20714321
/nird/home/nikolare/hplt/public/two/cleaned/cjk_Latn/1.jsonl.zst   36700  964702 7432699 7527148
/nird/home/nikolare/hplt/public/two/cleaned/kmb_Latn/1.jsonl.zst   11799  383087 2068653 2112697
/nird/home/nikolare/hplt/public/two/cleaned/kas_Deva/1.jsonl.zst    1357   31938  185550  441770
/nird/home/nikolare/hplt/public/two/cleaned/kea_Latn/1.jsonl.zst   43911 1142853 6146430 6294252
/nird/home/nikolare/hplt/public/two/cleaned/twi_Latn/1.jsonl.zst  125611 4696393 24183253 27352986
/nird/home/nikolare/hplt/public/two/cleaned/kam_Latn/1.jsonl.zst   14259  674038 4646023 5149801
/nird/home/nikolare/hplt/public/two/cleaned/hne_Deva/1.jsonl.zst   54999 2198920 10596011 25852045
/nird/home/nikolare/hplt/public/two/cleaned/bjn_Latn/1.jsonl.zst  366336 8047564 55993427 56289178
/nird/home/nikolare/hplt/public/two/cleaned/ace_Latn/1.jsonl.zst  206187 8196278 50845926 51831692
