Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
21	:	1725668099.065	     0.029	0	69	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/kas_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/kas_Arab/1.jsonl.zst|wc --lines
3	:	1725668099.039	     0.132	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/umb_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/umb_Latn/1.jsonl.zst|wc --lines
1	:	1725668099.037	     0.140	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/lij_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/lij_Latn/1.jsonl.zst|wc --lines
33	:	1725668099.085	     0.092	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/knc_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/knc_Latn/1.jsonl.zst|wc --lines
26	:	1725668099.073	     0.271	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/mni_Beng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/mni_Beng/1.jsonl.zst|wc --lines
77	:	1725668099.279	     0.093	0	69	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/mos_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/mos_Latn/1.jsonl.zst|wc --lines
24	:	1725668099.070	     0.393	0	71	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/tso_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/tso_Latn/1.jsonl.zst|wc --lines
63	:	1725668099.240	     0.253	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/dik_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/dik_Latn/1.jsonl.zst|wc --lines
157	:	1725668099.619	     0.019	0	68	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/ace_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/ace_Arab/1.jsonl.zst|wc --lines
122	:	1725668099.452	     0.194	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/kik_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/kik_Latn/1.jsonl.zst|wc --lines
155	:	1725668099.606	     0.138	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/fon_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/fon_Latn/1.jsonl.zst|wc --lines
149	:	1725668099.574	     0.177	0	70	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/ssw_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/ssw_Latn/1.jsonl.zst|wc --lines
