lang	text_newlines	text_wcwords	text_chars	text_bytes	docs
ace_Arab	117	8363	49743	86481	16
ace_Latn	206187	8196278	50845926	51831692	12930
afr_Latn	37737319	1000243431	5948644067	6006655031	1457165
als_Latn	95101980	2713109453	16101038499	17275962299	5385262
amh_Ethi	7005835	195885285	1031638733	2570470919	295542
ara_Arab	2200263575	48140219945	279588514088	496264608770	82670005
asm_Beng	2676868	73443843	475834166	1236551966	175709
ast_Latn	7426182	194987936	1244360550	1277409154	273237
awa_Deva	131475	6048872	28780543	71426181	7281
ayr_Latn	188527	3068307	25088804	26041415	9223
azb_Arab	2389200	39577751	260255339	470185063	66112
azj_Latn	126612778	2569257769	19628729875	22739492545	6484902
bak_Cyrl	3138502	75333469	558670761	1007231084	170822
bam_Latn	91722	3981771	20743039	22376491	5721
ban_Latn	601139	11337551	77255046	77937675	10700
bel_Cyrl	48844212	1212263254	8542012979	15328693785	2319619
bem_Latn	133538	4522828	32330348	32670071	6136
ben_Beng	176013069	4638754709	30166303909	79299795050	11043918
bho_Deva	458258	13466396	68677890	171458132	28643
bjn_Arab	19529	548236	3317744	5917879	1112
bjn_Latn	366336	8047564	55993427	56289178	18764
bod_Tibt	464993	5782063	268557549	789194959	27444
bos_Latn	268156648	7255309986	46085566608	47518533058	14613088
bug_Latn	38551	2704517	19314854	19649808	2023
bul_Cyrl	681406236	15296452254	96962360542	172373641737	28087181
cat_Latn	383335831	10016729624	60205145378	61992970475	18553883
ceb_Latn	2864543	85890144	515826862	519983011	138838
ces_Latn	1926503033	42084498020	274011976915	303591451675	75288021
cjk_Latn	36700	964702	7432699	7527148	1196
ckb_Arab	5225884	142649342	913083522	1664945422	273745
crh_Latn	1380903	36762128	281197091	317861217	122744
cym_Latn	15568883	409040919	2402651213	2431994438	758127
dan_Latn	873022625	21203403927	133414524024	136689656640	33841408
deu_Latn	11127774286	251482259019	1782611878740	1811650695806	482053407
dik_Latn	34647	2294790	11540215	13158281	2325
dyu_Latn	24558	1194399	5553660	6003411	1390
dzo_Tibt	39971	422241	7376884	20806381	1626
ell_Grek	1849481662	42695851837	283604940534	504795036574	70328890
eng_Latn	114772669463	2820946895818	16845514657770	16951116869169	4326963176
epo_Latn	20353314	471597134	2976887442	3036879702	818878
est_Latn	264422814	4741524574	36026670552	37154662376	8449320
eus_Latn	37621611	776636410	6054139628	6079511848	1974218
ewe_Latn	143401	4307527	21321406	23363204	3772
fao_Latn	4526061	93454271	582037360	625628765	239923
fij_Latn	178924	7262968	37699690	37981617	8914
fin_Latn	976622086	18450086532	155713617653	161931412743	34815601
fon_Latn	14764	1233350	5336242	6524308	1226
fra_Latn	10557148321	237036174185	1457830683271	1511953160288	401831660
fur_Latn	730045	20819255	114773403	118579922	36666
fuv_Latn	133977	5143430	29906734	31516929	7760
gaz_Latn	973633	28880729	219256615	223536602	49139
gla_Latn	3306787	80656921	483757451	497774984	137411
gle_Latn	10993158	295713588	1749841123	1856681147	490787
glg_Latn	61177888	1639421772	10111680350	10371291773	3020164
grn_Latn	1712841	30722098	218697533	227358591	73423
