Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1725655426.331	     0.204	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/umb_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/umb_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
21	:	1725655426.364	     0.254	0	97	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/kas_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/kas_Arab/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
33	:	1725655426.390	     0.230	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/knc_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/knc_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
77	:	1725655426.517	     0.121	0	97	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/mos_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/mos_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
63	:	1725655426.474	     0.341	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/dik_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/dik_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
1	:	1725655426.328	     0.779	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/lij_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/lij_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
157	:	1725655427.000	     0.176	0	97	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/ace_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/ace_Arab/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
26	:	1725655426.375	     0.832	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/mni_Beng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/mni_Beng/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
122	:	1725655426.780	     0.430	0	98	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/kik_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/kik_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
155	:	1725655426.991	     0.269	0	97	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/fon_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/fon_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
149	:	1725655426.950	     0.654	0	97	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/ssw_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/ssw_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
24	:	1725655426.371	     1.355	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/tso_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/tso_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
179	:	1725655427.396	     0.337	0	97	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/knc_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/knc_Arab/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
124	:	1725655426.790	     0.952	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/hne_Deva/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/hne_Deva/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
123	:	1725655426.785	     0.967	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/tsn_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/tsn_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
150	:	1725655426.954	     0.867	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/bug_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/bug_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
175	:	1725655427.356	     0.470	0	97	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/taq_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/taq_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
