lang	text_newlines	text_wcwords	text_chars	text_bytes	docs
ace_Arab	825077	3348713	25689522	28542495	11667
ace_Latn	44949744	172750790	1585989859	1645020458	1257535
afr_Latn	251519794	2425634067	18352201435	18550086567	9589394
als_Latn	304294712	4372079575	28416802362	30091668721	11291570
amh_Ethi	725189042	7213171492	65578216892	67689433758	13015195
ara_Arab	5635540937	73478960435	434474782505	743903060653	191754517
asm_Beng	4762294	94134183	617896801	1532956242	263142
ast_Latn	361086779	1985238987	12779182628	13551646070	12528738
awa_Deva	64964889	319728989	1907717351	2359996890	1115739
ayr_Latn	84867420	402048584	2403526600	2442646310	3560041
azb_Arab	7596933	69604615	445295193	774629652	253482
azj_Latn	409537153	4417014583	34651546021	39573569921	16091371
bak_Cyrl	14889111	144562003	1024575374	1755741405	778468
bam_Latn	8570611	32234457	230473467	241512710	1446401
ban_Latn	15368721	74919469	628796428	641619118	336976
bel_Cyrl	167783004	2270079654	18850515038	33241784163	5751708
bem_Latn	34051735	116220508	612210735	627540136	759410
ben_Beng	493777153	6407293036	41250956577	103479009557	17341296
bho_Deva	4154193	39338819	213883653	493561321	226963
bjn_Arab	591748	2161230	18615905	30841945	14071
bjn_Latn	49146802	209289332	1670827374	1757030164	1310669
bod_Tibt	2587058	15525080	680829154	1995918405	171774
bos_Latn	860561253	13584982867	89087873389	91822768915	35568281
bug_Latn	17322136	79026887	620276448	638319280	572438
bul_Cyrl	1484319772	20835032323	134991517803	234230930615	56663861
cat_Latn	724769748	12694284858	78069490241	80278719711	34438608
ceb_Latn	21133215	188620624	1202668442	1214808181	1238304
ces_Latn	5399952336	62916600182	412040897865	453280120309	168651720
cjk_Latn	820230	3792199	27545263	28267202	27759
ckb_Arab	22551908	442617000	2858554899	5127604561	1256970
crh_Latn	59371431	303683484	2011640848	2172142244	2940824
cym_Latn	79450932	793124108	5351844107	5432874749	2580523
dan_Latn	2803403351	31825723372	205927551875	210770899890	101012891
deu_Latn	28014536203	344146400251	2479919449008	2518987560892	897172710
dik_Latn	1477636	14173267	72426907	93554610	72723
dyu_Latn	198565	2068713	11852236	12540962	22241
dzo_Tibt	1853679	8124993	96257442	169854033	60260
ell_Grek	3683987579	55527002770	373815190928	648086061133	126925327
eng_Latn	220100551214	3754681378858	22789156545187	22935863406353	7718424164
epo_Latn	51268716	681984300	4329665401	4428786434	2147765
