Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
185	:	1725672764.332	     0.124	0	108	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/taq_Tfng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/taq_Tfng/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
181	:	1725672764.312	     0.496	0	108	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/knc_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/knc_Arab/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
22	:	1725672763.762	     1.203	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/kas_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/kas_Arab/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
159	:	1725672764.204	     1.579	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/ace_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/ace_Arab/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
27	:	1725672763.772	     2.382	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/mni_Beng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/mni_Beng/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
83	:	1725672763.936	     2.248	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/tzm_Tfng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/tzm_Tfng/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
3	:	1725672763.725	     2.808	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/umb_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/umb_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
34	:	1725672763.786	     3.290	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/knc_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/knc_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
182	:	1725672764.317	     3.601	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/dyu_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/dyu_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
157	:	1725672764.195	     3.978	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/fon_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/fon_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
244	:	1725672765.678	     3.131	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/cjk_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/cjk_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
