Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
115	:	1726318591.000	   369.000	0	78	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/CC-MAIN-2015-11/38/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/CC-MAIN-2015-11/38/text.zst|wc --lines
5	:	1726318591.000	   508.000	0	86	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/CC-MAIN-2015-35_partial/1/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/CC-MAIN-2015-35_partial/1/text.zst|wc --lines
201	:	1726318591.000	   533.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/596/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/596/text.zst|wc --lines
187	:	1726318591.000	   536.000	0	73	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/83/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/83/text.zst|wc --lines
200	:	1726318591.000	   538.000	0	72	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/7/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/7/text.zst|wc --lines
215	:	1726318591.000	   544.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/659/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/659/text.zst|wc --lines
157	:	1726318591.000	   548.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/427/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/427/text.zst|wc --lines
213	:	1726318591.000	   550.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/175/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/175/text.zst|wc --lines
132	:	1726318591.000	   558.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/747/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/747/text.zst|wc --lines
138	:	1726318591.000	   563.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/785/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/785/text.zst|wc --lines
162	:	1726318591.000	   568.000	0	73	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/85/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/85/text.zst|wc --lines
161	:	1726318591.000	   571.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/469/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/469/text.zst|wc --lines
167	:	1726318591.000	   576.000	0	73	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/80/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/80/text.zst|wc --lines
151	:	1726318591.000	   579.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/360/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/360/text.zst|wc --lines
135	:	1726318591.000	   581.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/743/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/743/text.zst|wc --lines
149	:	1726318591.000	   583.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/364/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/364/text.zst|wc --lines
195	:	1726318591.000	   588.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/558/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/558/text.zst|wc --lines
159	:	1726318591.000	   591.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/352/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/352/text.zst|wc --lines
140	:	1726318591.000	   594.000	0	73	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/34/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/34/text.zst|wc --lines
160	:	1726318591.000	   597.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/423/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/423/text.zst|wc --lines
226	:	1726318591.000	   599.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/534/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/534/text.zst|wc --lines
143	:	1726318591.000	   608.000	0	74	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/735/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/735/text.zst|wc --lines
