lang	text_newlines	text_wcwords	text_chars	text_bytes	docs
CC-MAIN-2013-20_partial	341138994	4693531691	28697322833	29139028944	17612425
CC-MAIN-2013-48_partial	433275287	5654056334	34570460214	35123525704	22074315
CC-MAIN-2014-10_partial	445483260	5861196430	35870745249	36541220445	22627376
CC-MAIN-2014-15_partial	504425501	6924584016	42422417302	43365649858	25741201
CC-MAIN-2014-23_partial	706603275	9557249894	58913142190	60088485328	35915055
CC-MAIN-2014-35	55763885116	764059732407	4691168817436	4790633790121	2811054097
CC-MAIN-2014-41_partial	585744938	7860441386	48317054860	49298049972	29334500
CC-MAIN-2014-42	73990506083	1047784652931	6452198342657	6615690804932	3632441265
CC-MAIN-2014-49_partial	384644934	5364007746	33007709110	33776340445	19100620
CC-MAIN-2014-52_partial	419443807	5622459049	34420607641	35097363613	21060174
CC-MAIN-2015-06_partial	351569911	4749054990	29076265693	29654352429	17835987
CC-MAIN-2015-11	36335054443	489469171384	3000461372881	3063063150224	1796908290
CC-MAIN-2015-14_partial	317467957	4325315919	26511257415	27086561828	15861747
CC-MAIN-2015-18_partial	412127459	5461962218	33415366781	34079009067	20044099
CC-MAIN-2015-22_partial	409786608	5357406830	32767841240	33438780284	19610371
CC-MAIN-2015-27_partial	339576516	4553779668	27889500639	28471755386	16786237
CC-MAIN-2015-32_partial	368687479	4908636733	30115712516	30739072055	17745820
CC-MAIN-2015-35_partial	377121066	5020041727	30794685590	31429801661	18147665
CC-MAIN-2015-40_partial	263582666	3544449766	21721415544	22190574950	12779289
CC-MAIN-2015-48	37860172811	505187160553	3098074051951	3162471655384	1786152693
CC-MAIN-2016-07_partial	356785981	4812817546	29508640136	30138736821	17024759
CC-MAIN-2016-18_partial	273558806	3714825925	22870039465	23368517059	13205505
CC-MAIN-2016-22_partial	286027771	3845977970	24118509159	25404200984	14302009
CC-MAIN-2016-26_partial	234604746	3171631756	19876339285	21087316413	12034844
CC-MAIN-2016-30_partial	356527416	4779123315	29900543269	31383878176	16961268
CC-MAIN-2016-36_partial	332388048	4489013086	28136303820	29592002071	15733030
CC-MAIN-2016-40_partial	351559465	4750456551	29912713015	31441359294	16798057
CC-MAIN-2016-44_partial	713589695	8098827132	52202777033	59329315429	32031898
CC-MAIN-2016-50_partial	659147252	7480738284	48226109846	54915726744	28314177
CC-MAIN-2017-04	72722353475	814361339464	5264412662608	6090160105549	3102878808
CC-MAIN-2017-09_partial	745972119	8712882770	55857249781	63427939378	30515712
CC-MAIN-2017-13_partial	738704819	8973304953	58637267198	67224095872	30246986
CC-MAIN-2017-17_partial	716019469	9109904521	59874391464	69014382115	28843299
CC-MAIN-2017-22_partial	708391299	8985982850	58426720683	67381191125	29149003
CC-MAIN-2017-26_partial	741932432	9862190338	63867886413	73613814645	31116632
CC-MAIN-2017-30_partial	642031146	8378011270	54472645539	63191128175	28241406
CC-MAIN-2017-34_partial	740936999	10018651691	64593784404	74592589520	32293942
CC-MAIN-2017-39_partial	689606668	8948891417	58503194546	68710902159	29675650
CC-MAIN-2017-43_partial	813551234	10672335288	69262969207	80502343806	35159589
CC-MAIN-2017-47_partial	707301564	9088305689	59338087329	69916168093	31097794
CC-MAIN-2017-51_partial	640413463	8629690783	55467171255	63978156756	28305135
CC-MAIN-2018-05	72847291180	941496502785	6165533632231	7340126213051	3339998919
CC-MAIN-2018-09_partial	773852117	9809454142	64457532415	77023479410	33719238
CC-MAIN-2018-13_partial	674224978	9081000557	59349502586	70109257305	31201587
CC-MAIN-2018-17_partial	659549439	8557440737	56095622692	67257586409	30465471
CC-MAIN-2018-22	58641275730	767431072521	5050807987202	6038086066824	2731493403
CC-MAIN-2018-26_partial	656375804	8574885180	56395388766	67422686378	29984626
CC-MAIN-2018-30_partial	690111789	9176182606	60425287255	72540848153	31946924
CC-MAIN-2018-34_partial	532204375	6867492449	45775787683	55653794468	25490404
CC-MAIN-2018-39_partial	582200698	7464238440	49735438517	60730423864	28104201
CC-MAIN-2018-43	62596148552	791720846617	5333047802003	6593884004090	2985891242
CC-MAIN-2018-47_partial	545506184	7165607220	48111417607	59304758148	25778400
CC-MAIN-2018-51_partial	651472967	8308338412	55745385269	68484060759	30951341
CC-MAIN-2019-04_partial	611755692	7845192969	51970793943	62845562961	28289838
CC-MAIN-2019-09_partial	574698614	7610740607	50673371408	61627831479	28397964
CC-MAIN-2019-13_partial	519665858	6740034573	45166517103	55022097012	25168570
CC-MAIN-2019-18_partial	511320440	6818777073	45310045352	54753027820	24575452
CC-MAIN-2019-22_partial	578497674	7498570095	52441903793	62983591473	26319012
CC-MAIN-2019-26_partial	566934817	7441451744	52214662278	62574932248	25546706
CC-MAIN-2019-30_partial	585027376	7541648254	52635272255	63170449966	25682481
CC-MAIN-2019-35_partial	654200156	8395257227	58913683348	71175833714	29210197
CC-MAIN-2019-39_partial	585648787	7475354808	52136220939	62879020295	25130349
CC-MAIN-2019-43_partial	716880940	8600862126	61035215088	74651003192	29752005
CC-MAIN-2019-47_partial	604308848	7748638512	54739585247	66632158154	25508332
CC-MAIN-2019-51_partial	583442078	7353242687	52282381429	63546010478	24410100
CC-MAIN-2020-05_partial	732407843	9511924482	67908465520	81120825325	30737067
CC-MAIN-2020-10_partial	580475734	7317738028	52321312453	64677402892	26014530
CC-MAIN-2020-16_partial	658961353	8680844107	62512606205	75682511158	28422345
CC-MAIN-2020-24_partial	604931988	7973160757	56153960771	68272345589	27327122
CC-MAIN-2020-29_partial	708578585	9588149596	68023622206	81159129630	31149173
CC-MAIN-2020-34_partial	542590981	7317905163	51069094014	60917139336	24211369
CC-MAIN-2020-40_partial	725012027	10175302652	73741641227	88941591021	34076693
CC-MAIN-2020-45_partial	584236315	8145625015	57350054276	68725975555	26794012
CC-MAIN-2020-50_partial	558104975	7730838245	55301395952	66129112204	25992706
CC-MAIN-2021-04_partial	714952275	10031225222	71860491116	85733299833	33440782
CC-MAIN-2021-10_partial	573803293	8306858904	59311924480	70619158120	26880356
CC-MAIN-2021-17_partial	668730458	9727408506	69174939300	82066945097	30822545
CC-MAIN-2021-21_partial	561917686	8083007917	56518711085	66862269680	25731374
CC-MAIN-2021-25_partial	529131786	7610516356	52938420520	62879085659	24196679
CC-MAIN-2021-31_partial	667711229	9772450702	70841946833	83401202047	31282652
CC-MAIN-2021-39_partial	622709141	8931268139	62225640399	73789381263	29013891
CC-MAIN-2021-43	69925369408	1007714403372	7260927689583	8555635990293	3279363406
CC-MAIN-2021-49_partial	524395300	7316673731	50485255435	59868629716	24531299
CC-MAIN-2022-05_partial	627663117	8824353788	62362124707	73790815038	29253930
CC-MAIN-2022-21_partial	703128875	10145699579	72265345342	85162390797	33806976
CC-MAIN-2022-27	63821477779	916258878273	6415498929125	7575175363215	3041987904
CC-MAIN-2022-33_partial	522401561	7324090679	49812402596	59167730469	25241736
CC-MAIN-2022-40	64842243940	941769526695	6768433181971	7989402132635	3117073444
CC-MAIN-2022-49	68182906419	998864665450	6960204320570	8188101559632	3316230604
CC-MAIN-2023-06_partial	645849268	9367046382	67038053471	78756544390	31317764
CC-MAIN-2023-14_partial	633248852	9023805514	63009781187	74573816784	30581974
CC-MAIN-2023-23_partial	653401453	9337007925	67243130330	79160899332	30798476
CC-MAIN-2023-40_partial	671311731	9786904687	69233479494	81195179467	33777370
archivebot_partial	16398182887	210896555452	1375718551537	1537020129453	1071834699
survey_00003	8507345707	122279175778	902989703223	1041159565924	646635902
wide00005	148783328095	1242901846506	9157788351214	11696098109132	8008149921
wide00006	84936407709	794371159762	5652489918838	7157128068890	4717465293
wide00010	44737186732	349655757943	2357245860030	2987724270560	1939104222
wide00011	229527117806	1558744519910	10467473708499	13412693171473	9545656506
wide00012	251441482250	1678196871484	11437901185567	14723079266424	9499081154
wide00015	138969010078	1443857063841	9939218679556	12639904132802	6077636997
wide00016	373525134283	2429859487830	16806442554302	21498250973739	14051632192
wide00017	141930113329	900630212833	7638951636300	11572019979792	13564743831
