Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
115	:	1726269108.000	   695.000	0	115	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/CC-MAIN-2015-11/38/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/CC-MAIN-2015-11/38/text.zst|jq -r .t|wc --lines --words --chars --bytes
6	:	1726269108.000	  1364.000	0	122	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/CC-MAIN-2013-48_partial/1/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/CC-MAIN-2013-48_partial/1/text.zst|jq -r .t|wc --lines --words --chars --bytes
172	:	1726269109.000	  1374.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/411/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/411/text.zst|jq -r .t|wc --lines --words --chars --bytes
178	:	1726269109.000	  1392.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/157/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/157/text.zst|jq -r .t|wc --lines --words --chars --bytes
240	:	1726269110.000	  1412.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/685/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/685/text.zst|jq -r .t|wc --lines --words --chars --bytes
175	:	1726269109.000	  1421.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/382/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/382/text.zst|jq -r .t|wc --lines --words --chars --bytes
169	:	1726269109.000	  1431.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/415/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/415/text.zst|jq -r .t|wc --lines --words --chars --bytes
128	:	1726269108.000	  1440.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/338/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/338/text.zst|jq -r .t|wc --lines --words --chars --bytes
146	:	1726269108.000	  1456.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/439/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/439/text.zst|jq -r .t|wc --lines --words --chars --bytes
176	:	1726269109.000	  1460.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/820/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/820/text.zst|jq -r .t|wc --lines --words --chars --bytes
152	:	1726269108.000	  1471.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/773/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/773/text.zst|jq -r .t|wc --lines --words --chars --bytes
147	:	1726269108.000	  1495.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/660/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/660/text.zst|jq -r .t|wc --lines --words --chars --bytes
163	:	1726269108.000	  1509.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/761/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/761/text.zst|jq -r .t|wc --lines --words --chars --bytes
185	:	1726269109.000	  1514.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/491/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/491/text.zst|jq -r .t|wc --lines --words --chars --bytes
162	:	1726269108.000	  1524.000	0	109	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/85/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/85/text.zst|jq -r .t|wc --lines --words --chars --bytes
224	:	1726269110.000	  1533.000	0	109	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/21/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/21/text.zst|jq -r .t|wc --lines --words --chars --bytes
160	:	1726269108.000	  1537.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/423/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/423/text.zst|jq -r .t|wc --lines --words --chars --bytes
170	:	1726269109.000	  1547.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/119/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/119/text.zst|jq -r .t|wc --lines --words --chars --bytes
5	:	1726269108.000	  1701.000	0	122	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/CC-MAIN-2015-35_partial/1/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/CC-MAIN-2015-35_partial/1/text.zst|jq -r .t|wc --lines --words --chars --bytes
129	:	1726269108.000	  1702.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/630/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/630/text.zst|jq -r .t|wc --lines --words --chars --bytes
217	:	1726269109.000	  1713.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/584/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/584/text.zst|jq -r .t|wc --lines --words --chars --bytes
220	:	1726269109.000	  1732.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/125/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/125/text.zst|jq -r .t|wc --lines --words --chars --bytes
168	:	1726269109.000	  1743.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/711/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/711/text.zst|jq -r .t|wc --lines --words --chars --bytes
203	:	1726269109.000	  1749.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/504/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/504/text.zst|jq -r .t|wc --lines --words --chars --bytes
155	:	1726269108.000	  1754.000	0	110	0	0	set -o pipefail; echo /nird/home/nikolare/hpltn/two/html_stage2/wide00016/310/text.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hpltn/two/html_stage2/wide00016/310/text.zst|jq -r .t|wc --lines --words --chars --bytes
