html/survey_00003  2.7T 3.3T
html/wide00002  6.2T 11T
html/wide00005  20T 52T
html/wide00006  11T 33T
html/wide00010  3.2T 15T
html/wide00011  9.7T 77T
html/wide00012  12T 89T
html/wide00016  15T 139T
html_cesnet_cc1/CC-MAIN-2015-18  1.1T 13T
html_cesnet_cc1/CC-MAIN-2016-44  2.0T 25T
html_cesnet_cc1/CC-MAIN-2017-26  9.4T 28T
html_cesnet_cc1/CC-MAIN-2023-50  15T 57T
html_cesnet_cc1/CC-MAIN-2024-10  12T 54T
html_cesnet_cc1/CC-MAIN-2024-38  6.9T 52T
html_cesnet_cc1/CC-MAIN-2024-42  11T 46T
html_cesnet_cc1/CC-MAIN-2024-51  9.0T 49T
html_cesnet_cc2/CC-MAIN-2016-30  1.3T 11T
html_cesnet_cc2/CC-MAIN-2016-40  1.4T 12T
html_cesnet_cc2/CC-MAIN-2021-39  11T 41T
html_cesnet_cc2/CC-MAIN-2022-40  8.9T 47T
html_cesnet_cc2/CC-MAIN-2024-22  8.5T 48T
html_cesnet_cc2/CC-MAIN-2024-26  8.0T 49T
html_cesnet_cc2/CC-MAIN-2024-46  8.7T 50T
html_cesnet_cc3/CC-MAIN-2017-51  2.8T 25T
html_cesnet_cc3/CC-MAIN-2019-04  11T 30T
html_cesnet_cc3/CC-MAIN-2022-33  12T 37T
html_cesnet_cc3/CC-MAIN-2022-49  11T 55T
html_cesnet_cc3/CC-MAIN-2023-14  12T 50T
html_cesnet_cc3/CC-MAIN-2024-18  11T 49T
html_cesnet_cc3/CC-MAIN-2024-30  9.8T 46T
html_cesnet_cc3/CC-MAIN-2024-33  8.8T 42T
