html/archivebot  4.9T 2.2T
html/wide00015  22T 53T
html/wide00017  16T 54T
html_three_cc/CC-MAIN-2014-15  1.6T 16T
html_three_cc/CC-MAIN-2018-34  3.9T 26T
html_three_cc/CC-MAIN-2018-39  1.4T 29T
html_three_cc/CC-MAIN-2020-05  917G 40T
html_three_cc/CC-MAIN-2020-10  1.4T 32T
html_three_cc/CC-MAIN-2020-16  7.8T 37T
html_three_cc/CC-MAIN-2020-24  1.2T 34T
html_three_cc/CC-MAIN-2020-29  1.1T 41T
html_three_cc/CC-MAIN-2020-34  1.3T 31T
html_three_cc/CC-MAIN-2020-40  11T 34T
html_three_cc/CC-MAIN-2020-45  8.9T 37T
html_three_cc/CC-MAIN-2020-50  3.9T 21T
html_three_cc/CC-MAIN-2021-04  731G 3.2T
html_three_cc/CC-MAIN-2021-17  3.5T 26T
html_three_cc/CC-MAIN-2021-25  2.8T 19T
html_three_cc/CC-MAIN-2021-49  4.8T 13T
