507T    warc/archivebot/archivebot_rest_shuf_01
34T     warc/cc/CC-MAIN-2015-18
30T     warc/cc/CC-MAIN-2016-30
29T     warc/cc/CC-MAIN-2016-40
54T     warc/cc/CC-MAIN-2016-44
64T     warc/cc/CC-MAIN-2017-26
62T     warc/cc/CC-MAIN-2017-51
59T     warc/cc/CC-MAIN-2019-04
73T     warc/cc/CC-MAIN-2021-39
69T     warc/cc/CC-MAIN-2022-33
88T     warc/cc/CC-MAIN-2023-14
100T    warc/cc/CC-MAIN-2023-50
91T     warc/cc/CC-MAIN-2024-10
82T     warc/cc/CC-MAIN-2024-18
79T     warc/cc/CC-MAIN-2024-22
80T     warc/cc/CC-MAIN-2024-26
77T     warc/cc/CC-MAIN-2024-30
70T     warc/cc/CC-MAIN-2024-33
84T     warc/cc/CC-MAIN-2024-38
78T     warc/cc/CC-MAIN-2024-42
83T     warc/cc/CC-MAIN-2024-46
81T     warc/cc/CC-MAIN-2024-51
81T     warc/ia/wide00002

