lang	text_newlines	text_wcwords	text_bytes	docs
aa	2481405	9686522	58415611	20243
ab	92518	1761133	15112249	2201
af	31499565	196179676	1245770261	206179
ak	781346	2325991	16442633	1916
am	8046232	76736386	811580334	42771
ar	7999739036	54788365186	543483926847	52389041
as	764695	3720995	50715111	4214
ay	676297	2502498	17166764	2213
az	232369416	1081315602	8992592730	1410339
ba	1037244	3405036	42823431	6151
be	51680294	243524462	3050496472	442249
bg	1351497331	7562532166	81139622324	8964558
bh	358783	2998720	33610104	2635
bi	1565447	5114642	31653624	4322
bn	160888650	1039790090	15212993155	1094340
bo	1298040	2412577	96705988	10433
br	4108757	18247970	118600640	32539
bs	78830778	492843051	3616471516	609826
ca	235246943	1543365288	10268100345	1508110
ceb	3003423	18657855	110529230	13123
chr	166613	1225493	13545870	1150
co	10168463	39794450	270522127	189800
crs	1173819	3770129	21457202	4325
cs	4102721690	19221105068	139097868180	20625122
cy	21870211	65557320	451520561	103053
da	2771798874	11537533499	81868569304	17672498
de	23273548292	108154863460	811405577609	149162369
dv	1078441	6272809	92745649	11501
dz	80901	255591	3724332	660
el	9632517913	57550979233	603299481336	19694712
en	248326264658	1382488156406	8879320501423	1773768873
eo	13763881	73254394	508396184	110504
es	21802518598	135202184661	861845596753	123619449
et	386665913	1530218616	11719890652	2022591
eu	26657746	108769846	837021508	187178
fa	8759144928	57376773149	519250082918	44158397
fi	1385453900	5611565420	46878981511	5712025
fj	897667	3222085	18974131	5222
fo	3611517	12186087	86717458	25966
fr	19315444442	110398599493	728342878714	110963512
fy	7646400	52267173	383966280	119388
ga	30188474	109486227	821537247	126893
gd	2567413	15746140	109593810	21099
gl	131903557	740006252	4955204659	962070
gn	7984877	29176851	200608221	66930
gu	16598729	85550439	1008031679	87086
gv	2269730	7603364	50108132	15059
ha	8509762	28282883	170596737	36165
haw	3597093	12790768	79638070	21906
hi	288769138	1825492781	19118685852	1274428
hmn	1557266	11842935	63009507	6659
hr	507844636	2719704143	18561211737	3340942
ht	4640458	24304613	141593353	34205
hu	3007394918	14031039062	113502695036	18820387
hy	109078478	519267561	6964452163	607286
ia	7804057	37830922	258613186	91940
id	3802415895	24258058581	162538987035	17088709
ie	4031023	13886910	91558682	19466
ig	1078100	3573532	21343970	2136
ik	387600	1385855	9792180	1021
is	117460327	594629839	4056272545	546660
it	7505470577	43227251917	286426036689	41269803
iu	128509	480027	4806023	866
iw	930686345	4756930845	47256791291	5297147
ja	29943925344	53224396371	1201297285679	140616944
