lang	text_newlines	text_wcwords	text_bytes	docs
aa	892260	7720911	76425453	12241
ab	217756	796179	10712122	3659
af	94501825	601055805	3721544952	444420
ak	265446	1161243	7683840	2991
am	40890035	320240438	3146371225	179528
ar	4581359745	29637707576	281837587678	20893082
as	994047	9197300	130854563	7081
ay	262650	1570715	14611299	5190
az	176607518	853607291	7233501160	946651
ba	2722943	26686963	319947489	18008
be	45925093	268441999	3176674706	284780
bg	2095253649	10467482083	113123424996	9851754
bh	1237098	11611996	134824754	8095
bi	468552	5886189	33539625	5620
bn	376162511	2233661161	29556313728	1470452
bo	3033705	8659094	417253171	27021
br	3319471	18760549	130997222	26137
bs	73511887	458653185	3261298042	573400
ca	991180831	6518921338	40383940713	4919927
ceb	11278843	63805640	377155616	35060
chr	88795	812171	8361781	899
co	20584177	120813610	725973819	110583
crs	2044416	8681241	57349165	11256
cs	5675086187	23657995032	170514541135	25419592
cy	35466609	166139392	1243489937	164984
da	4637732947	19385666937	124919520013	26612690
de	33662556642	151138184479	1124564955167	186954715
dv	2160241	13274076	197064080	21243
dz	157304	868019	23444148	1057
el	17899586339	95373952180	864768765728	30506929
en	401659692792	2276109393981	14102627321128	2213464300
eo	12685324	85975582	570212105	75394
es	48766121379	324648605680	1931693354387	162232284
et	787002210	2708410653	21342921831	2670062
eu	93075640	472714186	3199814812	501320
fa	7510241570	46447722192	417007950043	29557793
fi	3245110429	15787150419	127622758287	13082154
fj	291935	1615882	10651029	3553
fo	11772588	58527791	413731837	84519
fr	23015796574	125583439397	840046231360	102308168
fy	5380253	27665707	185931734	54532
ga	14415202	89102685	585034894	92499
gd	52188403	151657569	1512850648	63558
gl	689002727	2690722477	18443190998	1166038
gn	6998373	38458540	267835268	65600
gu	24474889	179938286	2182233891	139455
gv	2728297	16666653	129209464	37649
ha	2696296	23566812	143144430	23219
haw	3854419	61241549	377280913	29464
hi	702630311	4874744184	49633779553	2441885
hmn	8606769	30953336	179981294	20089
hr	875888215	5563740456	37489724288	4340695
ht	10494376	50843813	294662239	35838
hu	6968741094	29532662674	231778677863	25991306
hy	124376296	593874316	6982873751	535215
ia	6061059	40894335	302238796	41405
id	7820251428	62772161991	419935961166	30069487
ie	9461797	48425685	342810100	53611
ig	746524	1611580	19226656	2249
ik	125091	597468	5587271	2688
is	137398662	594075626	4393973287	790582
it	13825308324	87693782534	593385578842	53291552
iu	167634	642354	8929570	1461
iw	2911599978	15577696848	161465723731	8216811
ja	28928983869	53340797945	1084372503566	123338230
jw	5299996	32502768	224654346	47803
ka	163864320	693203539	11174722152	927090
kha	3322504	13491677	84484026	32592
kk	79250143	429250829	5976269935	362103
kl	935254	6058436	59196506	11324
km	44068346	179396225	2550434831	214830
kn	32821407	231086459	3459446601	125442
ko	10269373314	30670177713	316454215401	71312335
ks	8122	76268	639969	75
ku	20776161	142541989	1439668336	115991
ky	4322107	23528753	313111093	36594
la	576292484	4641123512	38339099328	5215845
lb	5345785	27473245	198302617	76384
lg	936105	5464489	39711673	6395
lif	6450	165925	3557931	6
ln	1720435	9692824	65387568	14604
lo	6712669	23459994	353378225	36397
lt	978797511	4159281360	33083986903	4613113
lv	609170407	2160895198	17028441301	2577039
mfe	697218	5759031	41441953	8565
mg	3961759	40503661	280742321	36794
mi	4767244	23142586	154567204	34622
mk	91607444	474791192	5097425851	586852
ml	200826257	1064848056	14155536390	546154
mn	112451004	644872163	7395543531	540770
mr	78326676	444443529	5910579932	270054
ms	4993489901	29939212316	180182861050	10989220
mt	13013419	69125605	470922174	48526
my	417819534	1859443174	26227802878	843630
na	362500	2139349	18089515	6440
ne	70886630	488752245	6079363815	352585
nl	9417314349	42840202008	288903535499	51924024
nn	124496044	571587124	3768153257	533375
no	2020019858	10079748088	63442991936	8735018
nr	453	2989	44821	20
nso	85010	557747	3536489	1267
ny	554673	3520254	24802563	6727
oc	7018763	46751597	308629634	49247
om	3503755	29389761	211555739	20915
or	1342871	8454005	116351553	10328
pa	18297241	148340795	1557407177	92233
pl	16990790998	71230780220	514135530092	73612935
ps	4144873	40183230	338033952	34590
pt	36927397130	233132363677	1439744718547	115954033
qu	931478	5267797	43583285	8136
rm	6301158	17197856	132514139	33140
rn	348263	1467473	10372233	6397
ro	5740532795	32751515856	211080533229	22038336
ru	84877986013	386116871906	4760043924851	424571171
rw	17977494	126390104	864531229	88882
sa	43995476	222484730	1794274608	146979
sco	9151297	43174744	279165045	69751
sd	1149962	11719857	103709220	8501
sg	495777	1704682	13025427	1342
si	126582094	980359422	12621644086	416045
sk	1789930194	6757304704	49135359626	7859707
sl	557677624	2595524948	17789361196	2987064
sm	619518	3517214	23052872	11762
sn	1083714	7251199	52983960	10327
so	25535246	209685161	1379908466	204314
sq	276119835	2434260856	15233827588	1024795
sr	1057585989	5326650060	37776151557	4445991
ss	164645	889754	6925184	3349
st	728771	3196373	23182460	8542
su	2522031	23734395	163867895	18850
sv	5629733490	28656383572	184527402227	23377898
sw	143953982	838654601	5249596876	413571
syr	165601	1413046	12427125	920
ta	702941378	4583686599	76246296723	2231520
te	81214704	498553733	6812650089	327415
tg	6388526	42493443	493493371	38899
th	2136568374	8327692687	161909604012	11805024
ti	1586345	13998701	148541780	12081
tk	2925993	15726560	138653075	21621
tl	99663517	815229165	4840918891	361422
tlh	4936670	12927522	106765206	17940
tn	415243	1888391	13883641	5163
to	1299476	9139174	54820612	6585
tr	12091644956	59534624184	447192472592	51784362
ts	282995	1797918	11664932	4858
tt	15102297	63131725	676203597	91578
ug	42337171	221836540	2618886739	377402
uk	1784945481	9356428765	119170154204	10293365
ur	76964075	568923633	4442852904	369580
uz	33141750	179185636	2007126742	239154
ve	220139	789246	4879945	2082
vi	11077478270	74330831582	445540278040	43947004
vo	4655892	17335085	135615838	29895
war	224557530	540318652	4291415211	645529
wo	868273	4614086	32231957	7226
xh	7927436	27124909	210898841	49157
xx-Avst	333	730	4498	1
xx-Bali	160	202	1002	1
xx-Bamu	3873	6950	46143	4
xx-Batk	401	896	5131	2
xx-Bopo	4910	9520	118280	39
xx-Brah	573	1095	6621	1
xx-Bugi	58	105	576	1
xx-Buhd	58	95	564	1
xx-Cakm	2031	6529	45626	3
xx-Cari	273	637	3869	1
xx-Cham	569	1105	6122	2
xx-Copt	5232	413239	6569564	27
xx-Dsrt	429	1007	6205	1
xx-Egyp	2816	4107	28945	2
xx-Glag	3461	15713	221595	8
xx-Goth	2103	7425	69297	9
xx-Ital	1020	4885	33489	5
xx-Java	2991	24480	366044	18
xx-Kali	499	1520	11053	3
xx-Kthi	357	773	4793	1
xx-Lana	864	1855	11192	3
xx-Lepc	654	2612	18695	4
xx-Lisu	2345	15202	95834	13
xx-Lyci	173	496	3061	1
xx-Mand	58	104	570	1
xx-Merc	158	483	3108	1
xx-Mero	178	461	3728	1
xx-Mtei	1594	4606	37271	10
xx-Nkoo	64501	380634	3259129	497
xx-Ogam	349	1553	30051	7
xx-Olck	365	1187	13592	7
xx-Orkh	2664	54002	601850	9
xx-Phag	366	1180	33744	2
xx-Phnx	1458	21665	280972	2
xx-Qaai	2154	34620	287842	105
xx-Runr	2766	17316	167970	36
xx-Samr	223	541	5618	2
xx-Saur	16559	32008	738065	12
xx-Shaw	41	502	3581	1
xx-Shrd	453	946	5967	1
xx-Sund	1225	3791	28476	5
xx-Sylo	75	124	663	1
xx-Tagb	58	93	576	1
xx-Takr	358	792	4848	1
xx-Tale	884	4958	44601	14
xx-Talu	126	170	872	1
xx-Tavt	1446	6384	53203	5
xx-Tfng	37200	192886	2066531	429
xx-Ugar	183	540	3426	1
xx-Vaii	4287	12032	87644	9
xx-Xsux	1684	3565	24042	2
xx-Yiii	11403	18253	242905	61
yi	4588588	33455962	279355513	21872
yo	818095	5399464	35722641	6597
za	56632	257782	2796990	4561
zh	230152020157	416032696170	9225006225505	1041874081
zh-Hant	9077258585	23228777588	322804766627	35527741
zu	9331497	29901603	232608762	36393
zzp	10952807	41605252	298228883	75901
