crawl nlogs nparsed cpu-seconds
archivebot_partial 223  221 9441223
CC-MAIN-2013-20 1  1 78980
CC-MAIN-2013-48 1  1 98953
CC-MAIN-2014-10 1  1 105974
CC-MAIN-2014-15 1  1 108296
CC-MAIN-2014-23 1  1 145023
CC-MAIN-2014-35 60  60 29257545
CC-MAIN-2014-41 1  1 124797
CC-MAIN-2014-42 69  69 21697017
CC-MAIN-2014-49 1  1 84019
CC-MAIN-2014-52 1  1 95981
CC-MAIN-2015-06 1  1 79892
CC-MAIN-2015-11 38  38 10934642
CC-MAIN-2015-14 1  1 73776
CC-MAIN-2015-18 1  1 91675
CC-MAIN-2015-22 1  1 88830
CC-MAIN-2015-27 1  1 77123
CC-MAIN-2015-32 1  1 85308
CC-MAIN-2015-35 1  1 84516
CC-MAIN-2015-40 1  1 67437
CC-MAIN-2015-48 41  41 11485162
CC-MAIN-2016-07 1  1 80429
CC-MAIN-2016-18 1  1 62239
CC-MAIN-2016-22 1  1 66391
CC-MAIN-2016-26 1  1 56920
CC-MAIN-2016-30 1  1 80165
CC-MAIN-2016-36 1  1 73008
CC-MAIN-2016-40 1  1 77274
CC-MAIN-2016-44 1  1 141766
CC-MAIN-2016-50 1  1 129909
CC-MAIN-2017-04 67  67 21634934
CC-MAIN-2017-09 1  1 144061
CC-MAIN-2017-13 1  1 144223
CC-MAIN-2017-17 1  1 139862
CC-MAIN-2017-22 1  1 142159
CC-MAIN-2017-26 1  1 139530
CC-MAIN-2017-30 1  1 142907
CC-MAIN-2017-34 1  1 146023
CC-MAIN-2017-39 1  1 138699
CC-MAIN-2017-43 1  1 158217
CC-MAIN-2017-47 1  1 141789
CC-MAIN-2017-51 1  1 131156
CC-MAIN-2018-05 80  80 25385015
CC-MAIN-2018-09 1  1 149766
CC-MAIN-2018-13 1  1 138676
CC-MAIN-2018-17 1  1 140154
CC-MAIN-2018-22 64  64 34015110
CC-MAIN-2018-26 1  1 135775
CC-MAIN-2018-30 1  1 144495
CC-MAIN-2018-34 1  1 120418
CC-MAIN-2018-39 1  1 135135
CC-MAIN-2018-43 56  56 38413594
CC-MAIN-2018-47 1  1 125128
CC-MAIN-2018-51 1  1 141226
CC-MAIN-2019-04 1  1 135589
CC-MAIN-2019-09 1  1 132067
CC-MAIN-2019-13 1  1 120993
CC-MAIN-2019-18 1  1 115616
CC-MAIN-2019-22 1  1 125257
CC-MAIN-2019-26 1  1 124437
CC-MAIN-2019-30 1  1 125061
CC-MAIN-2019-35 1  1 148922
CC-MAIN-2019-39 1  1 132366
CC-MAIN-2019-43 1  1 151253
CC-MAIN-2019-47 1  1 135215
CC-MAIN-2019-51 1  1 127764
CC-MAIN-2020-05 1  1 154978
CC-MAIN-2020-10 1  1 135100
CC-MAIN-2020-16 1  1 146954
CC-MAIN-2020-24 1  1 140516
CC-MAIN-2020-29 1  1 155618
CC-MAIN-2020-34 1  1 128030
CC-MAIN-2020-40 1  1 159732
CC-MAIN-2020-45 1  1 139578
CC-MAIN-2020-50 1  1 138271
CC-MAIN-2021-04 1  1 160019
CC-MAIN-2021-10 1  1 141213
CC-MAIN-2021-17 1  1 152440
CC-MAIN-2021-21 1  1 134237
CC-MAIN-2021-25 1  1 137202
CC-MAIN-2021-31 1  1 159554
CC-MAIN-2021-39 1  1 146477
CC-MAIN-2021-43 72  72 45469085
CC-MAIN-2021-49 1  1 132408
CC-MAIN-2022-05 1  1 151434
CC-MAIN-2022-21 1  1 169022
CC-MAIN-2022-27 80  80 18906644
CC-MAIN-2022-33 1  1 134005
CC-MAIN-2022-40 1  1 161704
CC-MAIN-2022-49 1  1 171342
CC-MAIN-2023-06 1  1 168667
CC-MAIN-2023-14 1  1 163347
CC-MAIN-2023-23 1  1 162202
CC-MAIN-2023-40 1  1 178000
wide00015 390  390 76902581
wide00017 715  715 71424869
